var_name,date,value
fixed_i,1965Q2,19.409
nonresidential,1965Q2,12.787
structures,1965Q2,63.519
equipment,1965Q2,8.193
intellectual,1965Q2,5.134
residential,1965Q2,63.659
gdp,1965Q3,25.962
c,1965Q3,23.044
investment,1965Q3,20.123
fixed_i,1965Q3,19.933
nonresidential,1965Q3,13.252
structures,1965Q3,64.187
equipment,1965Q3,8.631
intellectual,1965Q3,5.304
residential,1965Q3,63.96
gdp,1965Q4,26.56
c,1965Q4,23.692
investment,1965Q4,20.256
fixed_i,1965Q4,20.395
nonresidential,1965Q4,13.79
structures,1965Q4,67.141
equipment,1965Q4,8.967
intellectual,1965Q4,5.486
residential,1965Q4,62.707
gdp,1966Q1,27.207
c,1966Q1,24.042
investment,1966Q1,21.875
fixed_i,1966Q1,21.155
nonresidential,1966Q1,14.368
structures,1966Q1,68.734
equipment,1966Q1,9.46
intellectual,1966Q1,5.674
residential,1966Q1,64.279
gdp,1966Q2,27.3
c,1966Q2,24.103
investment,1966Q2,21.551
fixed_i,1966Q2,20.948
nonresidential,1966Q2,14.604
structures,1966Q2,67.409
equipment,1966Q2,9.793
intellectual,1966Q2,5.841
residential,1966Q2,59.279
gdp,1966Q3,27.531
c,1966Q3,24.379
investment,1966Q3,21.392
fixed_i,1966Q3,20.971
nonresidential,1966Q3,14.797
structures,1966Q3,68.91
equipment,1966Q3,9.837
intellectual,1966Q3,6
residential,1966Q3,57.31
gdp,1966Q4,27.757
c,1966Q4,24.48
investment,1966Q4,21.517
fixed_i,1966Q4,20.415
nonresidential,1966Q4,14.797
structures,1966Q4,66.567
equipment,1966Q4,9.978
intellectual,1966Q4,6.15
residential,1966Q4,51.298
gdp,1967Q1,28.003
c,1967Q1,24.621
investment,1967Q1,20.989
fixed_i,1967Q1,20.029
nonresidential,1967Q1,14.557
structures,1967Q1,67.259
equipment,1967Q1,9.582
intellectual,1967Q1,6.259
residential,1967Q1,49.886
gdp,1967Q2,28.02
c,1967Q2,24.958
investment,1967Q2,20.23
fixed_i,1967Q2,20.524
nonresidential,1967Q2,14.522
structures,1967Q2,65.347
equipment,1967Q2,9.685
intellectual,1967Q2,6.303
residential,1967Q2,55.637
gdp,1967Q3,28.285
c,1967Q3,25.086
investment,1967Q3,20.823
fixed_i,1967Q3,20.77
nonresidential,1967Q3,14.497
structures,1967Q3,66.038
equipment,1967Q3,9.553
intellectual,1967Q3,6.411
residential,1967Q3,58.596
gdp,1967Q4,28.498
c,1967Q4,25.239
investment,1967Q4,21.272
fixed_i,1967Q4,21.394
nonresidential,1967Q4,14.789
structures,1967Q4,66.144
equipment,1967Q4,9.857
intellectual,1967Q4,6.523
residential,1967Q4,61.99
gdp,1968Q1,29.079
c,1968Q1,25.844
investment,1968Q1,21.699
fixed_i,1968Q1,21.872
nonresidential,1968Q1,15.224
structures,1968Q1,67.434
equipment,1968Q1,10.232
intellectual,1968Q1,6.644
residential,1968Q1,62.173
gdp,1968Q2,29.565
c,1968Q2,26.238
investment,1968Q2,22.529
fixed_i,1968Q2,21.818
nonresidential,1968Q2,15.038
structures,1968Q2,66.859
equipment,1968Q2,9.985
intellectual,1968Q2,6.813
residential,1968Q2,63.69
gdp,1968Q3,29.794
c,1968Q3,26.729
investment,1968Q3,21.914
fixed_i,1968Q3,22.157
nonresidential,1968Q3,15.244
structures,1968Q3,66.424
equipment,1968Q3,10.232
intellectual,1968Q3,6.929
residential,1968Q3,64.978
gdp,1968Q4,29.912
c,1968Q4,26.85
investment,1968Q4,22.153
fixed_i,1968Q4,22.68
nonresidential,1968Q4,15.66
structures,1968Q4,67.781
equipment,1968Q4,10.587
intellectual,1968Q4,7.027
residential,1968Q4,65.878
gdp,1969Q1,30.38
c,1969Q1,27.148
investment,1969Q1,23.457
fixed_i,1969Q1,23.311
nonresidential,1969Q1,16.06
structures,1969Q1,68.828
equipment,1969Q1,10.973
intellectual,1969Q1,7.076
residential,1969Q1,68.09
gdp,1969Q2,30.472
c,1969Q2,27.323
investment,1969Q2,23.319
fixed_i,1969Q2,23.434
nonresidential,1969Q2,16.235
structures,1969Q2,69.376
equipment,1969Q2,11.087
intellectual,1969Q2,7.214
residential,1969Q2,67.452
gdp,1969Q3,30.673
c,1969Q3,27.456
investment,1969Q3,23.792
fixed_i,1969Q3,23.77
nonresidential,1969Q3,16.605
structures,1969Q3,72.646
equipment,1969Q3,11.231
intellectual,1969Q3,7.266
residential,1969Q3,66.917
gdp,1969Q4,30.524
c,1969Q4,27.675
investment,1969Q4,22.644
fixed_i,1969Q4,23.241
nonresidential,1969Q4,16.518
structures,1969Q4,72.138
equipment,1969Q4,11.137
intellectual,1969Q4,7.344
residential,1969Q4,62.317
gdp,1970Q1,30.478
c,1970Q1,27.847
investment,1970Q1,21.968
fixed_i,1970Q1,23.124
nonresidential,1970Q1,16.401
structures,1970Q1,71.57
equipment,1970Q1,11.058
intellectual,1970Q1,7.308
residential,1970Q1,62.353
gdp,1970Q2,30.522
c,1970Q2,27.973
investment,1970Q2,22.016
fixed_i,1970Q2,22.649
nonresidential,1970Q2,16.294
structures,1970Q2,70.838
equipment,1970Q2,11.011
intellectual,1970Q2,7.258
residential,1970Q2,58.537
gdp,1970Q3,30.803
c,1970Q3,28.218
investment,1970Q3,22.374
fixed_i,1970Q3,23.032
nonresidential,1970Q3,16.351
